"source_path","destination_path","action","sha256","size_bytes"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_artwork\bzh_pw_art_set\bzh_pw_artwork_set1\DALL·E 2024-07-01 04.09.30 - Cover art for the character MutenRock from the 'BZH Chronicles' album. MutenRock is depicted as the strategic leader, standing confidently with a digi.webp","media\visual\references\bzh-pw-art-set\bzhpw_art_set_v001.webp","promoted","9C243E024AA94DF2F00532933470DE22228980A411C0F7693167DDAD524E037A","520808"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_artwork\bzh_pw_art_set\bzh_pw_artwork_set1\DALL·E 2024-07-01 04.09.38 - Cover art for the character Aligax from the 'BZH Chronicles' album. Aligax is depicted as a fierce female warrior, holding a glowing artifact. She loo.webp","media\visual\references\bzh-pw-art-set\bzhpw_art_set_v002.webp","promoted","72EC6C84F12604E231868E90032E24F7C40FE4FB2433422C0CEBF587589F42D9","494720"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_artwork\bzh_pw_art_set\bzh_pw_artwork_set1\DALL·E 2024-07-01 04.09.45 - Cover art for the character Sniky from the 'BZH Chronicles' album. Sniky is depicted as a stealthy assassin, shown partially in the shadows with a swi.webp","media\visual\references\bzh-pw-art-set\bzhpw_art_set_v003.webp","promoted","E728D68D281FF7B2B18BAF209A2741937F1D12FF8F94706A6A74DCCE89CBB7B6","514642"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_artwork\bzh_pw_art_set\bzh_pw_artwork_set1\DALL·E 2024-07-01 04.09.52 - Cover art for the character Spirit from the 'BZH Chronicles' album. Spirit is depicted as a tactical player, advancing silently with a mix of calm and.webp","media\visual\references\bzh-pw-art-set\bzhpw_art_set_v004.webp","promoted","284E9B4C9D62F91BC957916EA34A9231C5778952A606103E94DAB3FCBAB4BB8E","486636"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_artwork\bzh_pw_art_set\bzh_pw_artwork_set1\DALL·E 2024-07-01 04.09.59 - Cover art featuring the BZH Power team from the 'BZH Chronicles' album. The team, including MutenRock, Sniky, Aligax, Spirit, and Titan, is shown faci.webp","media\visual\references\bzh-pw-art-set\bzhpw_art_set_v005.webp","promoted","6972CDDA0D8283241CF9972E7A5A200F4B649280345A859B72E1D4081FF37C50","496928"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_artwork\bzh_pw_art_set\bzh_pw_artwork_set1\DALL·E 2024-07-01 04.13.36 - Cover art for the song 'Dr. Sorn_ Gladiator of the Digital Realm' from the 'BZH Chronicles' album. The design features a powerful figure, Dr. Sorn, in.webp","media\visual\references\bzh-pw-art-set\bzhpw_art_set_v006.webp","promoted","2A382D1F1FA3F1C6B4C961195B78CDC74445C2EE348A2A3FC282D1B4AA60859A","533400"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_artwork\bzh_pw_art_set\bzh_pw_artwork_set2\bzh_pw_artwork - Raccourci.lnk","archives\import-metadata\2026-07-06\imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_artwork\bzh_pw_art_set\bzh_pw_artwork_set2\bzh_pw_artwork - Raccourci.lnk","metadata","2F4D0A758A7D2E94196467E4AE19835ADAAAF5AEBA7A87DC2BB4727AE9D58EC0","1252"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_artwork\bzh_pw_art_set\bzh_pw_artwork_set2\DALL·E 2024-07-01 04.12.57 - Cover art featuring MutenRock from the 'BZH Chronicles' album. The design features a powerful figure, MutenRock, in a cyberpunk commander outfit, wiel.webp","media\visual\references\bzh-pw-art-set\bzhpw_art_set_v007.webp","promoted","BF092DB72889180F967FBC7FA2458DD2A877D8CF92F4F7FA4D3C41819E714BCB","514572"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_artwork\bzh_pw_art_set\bzh_pw_artwork_set2\DALL·E 2024-07-01 04.13.00 - Cover art featuring Aligax from the 'BZH Chronicles' album. The design features a powerful figure, Aligax, in a cyberpunk warrior outfit, wielding fut.webp","media\visual\references\bzh-pw-art-set\bzhpw_art_set_v008.webp","promoted","592FAD26C3B61925F8075E045AC277C2338C548337617F086EF02E50898B0750","501334"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_artwork\bzh_pw_art_set\bzh_pw_artwork_set2\DALL·E 2024-07-01 04.13.02 - Cover art featuring Sniky from the 'BZH Chronicles' album. The design features a powerful figure, Sniky, in a cyberpunk assassin outfit, wielding futu.webp","media\visual\references\bzh-pw-art-set\bzhpw_art_set_v009.webp","promoted","643A303168EE1228B6218AF11286CEEF12DDD9653B79BDD658C91DD91B4187C3","493316"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_artwork\bzh_pw_art_set\bzh_pw_artwork_set2\DALL·E 2024-07-01 04.13.04 - Cover art featuring Spirit from the 'BZH Chronicles' album. The design features a powerful figure, Spirit, in a cyberpunk tactical outfit, wielding fu.webp","media\visual\references\bzh-pw-art-set\bzhpw_art_set_v010.webp","promoted","2CD90536944CEED65A07F8A04F61AF23579C67EF243EC1E1EF2A6F1AC5D0EE00","501136"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_artwork\bzh_pw_art_set\bzh_pw_artwork_set2\DALL·E 2024-07-01 04.13.08 - Cover art featuring the entire BZH Chronicles team facing their enemy 'The Code'. The design features MutenRock, Aligax, Sniky, Spirit, and Dr. Sorn i.webp","media\visual\references\bzh-pw-art-set\bzhpw_art_set_v011.webp","promoted","0E091BE7AA7E2CD9ADA278C68368F3D8DF5F41B74068FF56E2CFA96C6D9AE3BC","467430"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_pw_artwork\bzh_pw_art_set\bzh_pw_artwork_set2\DALL·E 2024-07-01 04.13.40 - Cover art for the song 'Dr. Sorn_ Gladiator of the Digital Realm' from the 'BZH Chronicles' album. The design features a powerful figure, Dr. Sorn, in.webp","media\visual\references\bzh-pw-art-set\bzhpw_art_set_v012.webp","promoted","63E6E9D857AFBCB26F0E986D8CC5CBD490C1D0CD2AEE44E519ACB69032763AA1","483150"
