"source_path","destination_path","action","sha256","size_bytes"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\2KGMKT_CIV6_D2C_Edition_Comparison_Image_1302x738.jpg","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v001.jpg","promoted","2F586939C001AD5A75F36182EC5E002763B83B15D803985D1B207C0B89D0AFDA","440907"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\64d132c60eef4768b2b7501d3e185ee5.jpg","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v002.jpg","promoted","AF866AFD44253F036029852AFE13BF22E2EA5966D55F23E883F4E0FC87434DC1","133230"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\918c0badde3aeba760e2185f382a2402248a1292322cf540fd8d098eeb292e1e.png","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v003.png","promoted","E3EE5988D02E98ABC0A731740AC7AC2EDD67EA278861D1BB653CD3322C51CB55","463765"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\DALL·E 2024-07-28 12.27.58 - A landscape image depicting a global conquest inspired by Sid Meier's Civilization. The scene shows a vast map with different territories highlighted,.png","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v004.png","promoted","ED6072E0492CF872792CF18FB204E887CDCDBE2DF9EDB4484721FD86E986DCC3","3639775"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\DALL·E 2024-07-28 12.27.58 - A landscape image depicting a global conquest inspired by Sid Meier's Civilization. The scene shows a vast map with different territories highlighted,.webp","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v005.webp","promoted","521667D235826655E09C1F506E58E4BBDE678822FAAFEB42417AE85A550812A0","783402"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\DALL·E 2024-07-28 12.27.59 - A landscape image depicting a global conquest inspired by Sid Meier's Civilization. The scene shows a vast map with different territories highlighted,.png","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v006.png","promoted","04FFF2B82165FFF478C5AED2C1B2B2927B078D0516100FF0419D025B13F84E50","3460759"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\DALL·E 2024-07-28 12.27.59 - A landscape image depicting a global conquest inspired by Sid Meier's Civilization. The scene shows a vast map with different territories highlighted,.webp","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v007.webp","promoted","E8D3D8730DBE924DF1CE7B0AF3CC8430A3DB616C8AB9B72F883997BB1DDF599D","721360"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\DALL·E 2024-07-28 12.48.02 - A stylized text design for 'BZH DOMINION'. 'BZH' is written in a cyberpunk style with sharp edges and glowing neon effects, while 'DOMINION' is writte.png","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v008.png","promoted","4D510FC3A42DC812B70F9EA3A3E8CC0F878A2611E4A13B1283000869712D4E13","781062"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\DALL·E 2024-07-28 12.48.02 - A stylized text design for 'BZH DOMINION'. 'BZH' is written in a cyberpunk style with sharp edges and glowing neon effects, while 'DOMINION' is writte.webp","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v009.webp","promoted","4F598D7FB3B09439A021262C9C440689A569A977205D13D1CE3B521A36895DFC","202996"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\DALL·E 2024-07-28 12.51.14 - Stylized text design for 'DOMINION' with a steampunk aesthetic. The text should have a vintage and mechanical look, with colors like bronze and copper.png","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v010.png","promoted","5A84F82B93870718B6E9CD84B0B012959CB269A8C57704CF1EDF55ADC5307CC4","2263786"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\DALL·E 2024-07-28 12.51.14 - Stylized text design for 'DOMINION' with a steampunk aesthetic. The text should have a vintage and mechanical look, with colors like bronze and copper.webp","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v011.webp","promoted","17B4774FE6FBD53B0BBE7D67C0D2464098067B91614335F1E3CFC62FEC078A8B","522558"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\DALL·E 2024-07-28 12.51.16 - Stylized text design for 'BZH' in the style of BZH CHRONICLES. The text should have a cyberpunk aesthetic, with futuristic elements and colors like bl.png","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v012.png","promoted","689A888590A8547D0038B1AC6F8AE5049D4100E4083DEBF869CB8FB9C2D0AC8A","1273404"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\DALL·E 2024-07-28 12.51.16 - Stylized text design for 'BZH' in the style of BZH CHRONICLES. The text should have a cyberpunk aesthetic, with futuristic elements and colors like bl.webp","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v013.webp","promoted","6A9B18622582647FA6527445618E3F6521E4C2918DD0E8639F9E8DB8D82F3C77","282970"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\DOMINION BZH.png","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v014.png","promoted","C3C566D2FD2D6E216FF74E4EED09D2F87341D259D54FE2B3CB2262CE078D407D","975841"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\Sans titre.pdn","archives\sources\logos\bzh-chronicles\bzhchronicles_dominion_source_v001.pdn","source","E3C3A358333BF424844F373C545E23E469C67781E9F28985E8ACE18F5A12C4CF","7986420"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\title dominion.png","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v015.png","promoted","D5053F4712FA8967C1F86B58C54766EADE44742DC89662286962C6639557D4C3","507691"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\une_arm_e__civilization__avec_en_drapeau__bzh_power_-58d0a71f-ee80-441c-994c-e4442b564899.png","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v016.png","promoted","48D85F8EDA6F660F3D868B423936BCD67D2679F533FA4E5136CFC819A8E28C91","638193"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\une_arm_e__civilization__avec_en_drapeau__bzh_power_-58d0a71f-ee80-441c-994c-e4442b564899.webp","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v017.webp","promoted","CC27D57033B5A96BECC18717D0E4DD42C0D2292C120452C8856E662E5764A1BD","57062"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\une_arm_e__civilization__avec_en_drapeau__bzh_power_-a3d45388-21d1-48c2-aeb3-86d9712b20d6.png","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v018.png","promoted","6D0B2743C1DDC2026C40A12B3AF607A6A48F4D8C24EB67E0EBFB0D95C1894DBA","554887"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\une_arm_e__civilization__avec_en_drapeau__bzh_power_-a3d45388-21d1-48c2-aeb3-86d9712b20d6.webp","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v019.webp","promoted","1CFAAB6CEF1E5756CE91EE9635631FC16D8862A0314B3EB4A895AD9382D7FA44","44226"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\une_arm_e__civilization__avec_en_drapeau__bzh_power_-f3d5aa03-2eb2-4d5d-bb6c-13810bb49cd3.png","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v020.png","promoted","3B12687D3B8DAE14F22D0C36C8F1E80097B6A5F2BC3A422C71378A258EE00903","473760"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\une_arm_e__civilization__avec_en_drapeau__bzh_power_-f3d5aa03-2eb2-4d5d-bb6c-13810bb49cd3.webp","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v021.webp","promoted","3AE54B8DDD9CB2342B128D5E8C6019CFF7F2B938E3FD660864B8FFE6B2CCB1AC","42642"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\une_arm_e__jeu_vid_o_4x__avec_en_drapeau__bzh_power_-03c80224-bc09-4788-ad2b-8a8cc5856356.png","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v022.png","promoted","8D09D525C231FA09B4287E2A854C0ACEA70CE29226A5E56C25DC7846A4178EF7","539442"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\une_arm_e__jeu_vid_o_4x__avec_en_drapeau__bzh_power_-03c80224-bc09-4788-ad2b-8a8cc5856356.webp","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v023.webp","promoted","6E0B115B5A7D4896FE59B8BD2F41E0BBB6006ADE34DDFAA06D20C205499CDD71","55412"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\une_arm_e__jeu_vid_o_4x__avec_en_drapeau__bzh_power_-fa96cd5f-44a7-4bf4-a90d-96911150ccc6.png","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v024.png","promoted","79D7C388B85C2DC43693A5C2FB61FEA4EBA4190BC4A2DEC97A9D860CD8C7E92A","747267"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH DOMINION_converted\une_arm_e__jeu_vid_o_4x__avec_en_drapeau__bzh_power_-fa96cd5f-44a7-4bf4-a90d-96911150ccc6.webp","assets\logos\bzh-chronicles\dominion\bzhchronicles_dominion_v025.webp","promoted","94F975BB0627E65A9EA903FE762F80267151602BACCE05DB774A6ABECEB7F207","86060"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\bzh_chronicle_logo_WIP\bzhchronicle emoji.png","assets\logos\bzh-chronicles\wip\bzhchronicles_logo_wip_v001.png","promoted","06CD521FFB0D86DFB14AA927D01B0C4B9BCE954F8B521ECB310FE900AC758A6E","32050"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\bzh_chronicle_logo_WIP\DALL·E 2024-05-30 09.08.36 - A vibrant and creative logo for an esports team named 'BZH Chronicles'. The logo should be fairly simple and minimalistic, reflecting the cyberpunk an.png","assets\logos\bzh-chronicles\wip\bzhchronicles_logo_wip_v002.png","promoted","2A83D862A24249E8D27F0AE142126BBB75F52477149441E7E599178D628C122E","1123565"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\bzh_chronicle_logo_WIP\DALL·E 2024-05-30 09.08.36 - A vibrant and creative logo for an esports team named 'BZH Chronicles'. The logo should be fairly simple and minimalistic, reflecting the cyberpunk an.webp","assets\logos\bzh-chronicles\wip\bzhchronicles_logo_wip_v003.webp","promoted","A796E9308A468F81F7D1CEDECFD68D232D9CC34BE8EA9E949F04CD7DF4350531","284704"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH_CHRONICLES TITLE\a_blackblock_tagging__bzh_pw__in_paris_street-cb93ff42-5c14-45c4-a610-90b9baf07dca.webp","assets\logos\bzh-chronicles\title\bzhchronicles_title_v001.webp","promoted","986F936A6E23DF11FE35D0732EEFF460E9E16163AD4A5699E470DE5D4EFABEDF","120226"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH_CHRONICLES TITLE\a_blackblock_tagging_bzh_pw_on_the_elys_e-72075d92-35b0-4de6-911b-c6369195fa49.webp","assets\logos\bzh-chronicles\title\bzhchronicles_title_v002.webp","promoted","6127B471F8ADA2737F8626FBB6FFB509E36D259B32335986A000C319540F2513","80610"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH_CHRONICLES TITLE\a_logo__bzh__with_underline__chronicles___cyberpunk_inspiration__retro_video_game_style-2740df76-4c52-4ae1-9fff-3672c3b4fe3c.webp","assets\logos\bzh-chronicles\title\bzhchronicles_title_v003.webp","promoted","17A27DDE1176136EA36C95ECC1535EDCC60C189F0624A04106543C19318DE6AE","26202"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH_CHRONICLES TITLE\a_logo__bzh__with_underline__chronicles___cyberpunk_inspiration__retro_video_game_style-8c6ea1a2-9830-42cf-ae13-a0341027d969.webp","assets\logos\bzh-chronicles\title\bzhchronicles_title_v004.webp","promoted","A785A368AF6018194C7122A1FF45DC807DECAB111CB17A347F9D0B048957317C","24666"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH_CHRONICLES TITLE\a_logo__bzh__with_underline__chronicles___cyberpunk_inspiration__retro_video_game_style-cc7221f5-4c5e-469f-ad9f-fb73e7140b7b.webp","assets\logos\bzh-chronicles\title\bzhchronicles_title_v005.webp","promoted","9E908675F1A30F376E6B00A79DD29877A3C2BEC61E895A7110C807B4EA43D53F","14420"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH_CHRONICLES TITLE\a_logo__bzh__with_underline__chronicles___cyberpunk_inspiration__videogame_style__retro_game-04c9bb66-f0d7-4b40-af09-d1719750d04b.webp","assets\logos\bzh-chronicles\title\bzhchronicles_title_v006.webp","promoted","90C946EAEFEFD8087820CE52016C5F9EAFD4F93348821F6F24BF177BD5158066","13196"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH_CHRONICLES TITLE\a_logo__bzh__with_underline__chronicles___cyberpunk_inspiration__videogame_style__retro_game-83fb8c79-1ddf-4b28-bef2-5046ec15c07a.webp","assets\logos\bzh-chronicles\title\bzhchronicles_title_v007.webp","promoted","591B71A29B7205AB5662ADA37842CB982CC1AA9167361BDF3EC9BD8E8F16B25C","32604"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH_CHRONICLES TITLE\a_logo__bzh__with_underline__chronicles___cyberpunk_inspiration__videogame_style-4096496a-7c4c-4979-b066-0afe0bdbba55.webp","assets\logos\bzh-chronicles\title\bzhchronicles_title_v008.webp","promoted","4F0ABA2AD2F6789AA95DAE76D1A62D4922E3437869AE456C3C46B63749AB86B3","17552"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH_CHRONICLES TITLE\a_logo__bzh__with_underline__chronicles___cyberpunk_inspiration__videogame_style-5632706d-4bcc-49c3-8719-77df6e6966f9.webp","assets\logos\bzh-chronicles\title\bzhchronicles_title_v009.webp","promoted","FBEBB7B9D5383FBBCD6D400A43E4DD8D1BDB30B16F7F42BA2A80BB0CA9791161","29698"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH_CHRONICLES TITLE\a_logo__bzh__with_underline__chronicles___cyberpunk_inspiration__videogame_style-bf8f70f2-7c43-4096-8b6c-2103c8025fa9.webp","assets\logos\bzh-chronicles\title\bzhchronicles_title_v010.webp","promoted","59F8D615B92ACB80F4A2C45D0CBD9CCC45F76D30713038F74D1935830A5166EA","25890"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH_CHRONICLES TITLE\a_logo__bzh__with_underline__chronicles___cyberpunk_inspiration__videogame_style-fecfbd4a-b45d-4b0c-81f0-40771d4209fb.png","assets\logos\bzh-chronicles\title\bzhchronicles_title_v011.png","promoted","6284BE30359832E409D4C52719DF1E3AB29100E03811E0D931919312BF8C369F","128029"
"imports\2026-07-06-desktop-bzh\BZH_RESS\bzhpwimage\bzh_chronicle_logo\BZH_CHRONICLES TITLE\a_logo__bzh__with_underline__chronicles___cyberpunk_inspiration__videogame_style-fecfbd4a-b45d-4b0c-81f0-40771d4209fb.webp","assets\logos\bzh-chronicles\title\bzhchronicles_title_v012.webp","promoted","00487B4880610F4860F440F8AB075DCE6251881D8C832298CA59427A3FF1A29D","35442"
