"treatment","size_mb","import_path"
"reference-only","0,3","BZH_DONE\bzhpw_lore\GARTIC_MONSTER\571456322685125.mp4"
"reference-only","1,89","BZH_DONE\bzhpw_lore\GARTIC_MONSTER\NEOKARCERIS\297323730114355209.mp4"
"reference-only","2,11","BZH_DONE\bzhpw_lore\GARTIC_MONSTER\NEOKARCERIS\Gen-3 Alpha Turbo 238690093, a mysterious metalli, Cropped - 9ea39c9a80.mp4"
"reference-only","2,06","BZH_DONE\bzhpw_lore\GARTIC_MONSTER\NEOKARCERIS\noekarceris_live.mp4"
"reference-only","0,88","BZH_RESS\bzhpwimage\587271695877509.mp4"
"reference-only","6,57","BZH_RESS\bzhpwimage\bzh_pw_artwork\bzh_pw_wallpaper_aligax\1ab16a9d-ac6b-490b-a9ce-ae0b1671e026.mp4"
"reference-only","6,59","BZH_RESS\bzhpwimage\bzh_pw_artwork\bzh_pw_wallpaper_aligax\3790456e-2658-4a97-b89f-3c2d8fefef7d.mp4"
"reference-only","7,13","BZH_RESS\bzhpwimage\bzh_pw_artwork\bzh_pw_wallpaper_aligax\765501a3-6e05-488e-87f1-d360aaefabe8.mp4"
"reference-only","10,86","BZH_RESS\bzhpwimage\df17048e-38b9-41c0-a655-d9fc57401972.mp4"
"reference-only","2,05","BZH_RESS\chibi bzh power decembre 2024\1734230401410250861-video_watermark_7f5b8ab73a4e356f7aa89c3991510cce_324530501704695812.mp4"
"reference-only","0,91","BZH_RESS\chibi bzh power decembre 2024\1734237663938646837-video_watermark_3a1649410eb2c2d04e53736c6de5cf64_324549621791821832.mp4"
"reference-only","0,82","BZH_RESS\chibi bzh power decembre 2024\1734240752415574272-video_watermark_fe054b25229a57d1e13efd6f69905e8a_324549621791821831.mp4"
"reference-only","0,54","BZH_RESS\chibi bzh power decembre 2024\1734350015679225377-video_watermark_173713e6b4324c85417f53dbf4df9b3a_325029711474569224.mp4"
"reference-only","0,55","BZH_RESS\chibi bzh power decembre 2024\1734351510952726386-video_watermark_08692f00b2eed30fc58fe74055fa904d_325029711474569223.mp4"
"reference-only","0,2","BZH_RESS\chibi bzh power decembre 2024\1734358275608191631-video_watermark_6cf2524849ea620c105e44f240d5dc6b_325034474903711750.mp4"
"reference-only","0,4","BZH_RESS\chibi bzh power decembre 2024\1734368158632235509-video_watermark_ac94b9b05b3fcfe3b83d39ccdee87d03_325077293039104010.mp4"
"reference-only","0,77","BZH_RESS\chibi bzh power decembre 2024\1734386702864856987-video_watermark_c2dbcbfab70c00fd0c454c688627a88a_325184794598313986.mp4"
"reference-only","0,35","BZH_RESS\chibi bzh power decembre 2024\1734392829792848531-video_watermark_4215b20b8812e77083ddf76f80efcda6_325207419852693511.mp4"
"reference-only","1,54","BZH_RESS\chibi bzh power decembre 2024\Standard_Mode_The_three_chibi_characters_start.mp4"
"reference-only","1,54","BZH_RESS\Montage\1727600598267596668-video_watermark_3f01e1fcdce4d800314cbc3cc145a369_296722529764511747.mp4"
"reference-only","3,19","BZH_RESS\Montage\1727754365168763818-video_watermark_6d9eb57e1e333b34bb24cca98d1ac606_297367544224985090.mp4"
"reference-only","3,69","BZH_RESS\Montage\7a9a162e-f10e-4264-90b0-d72d7a582195.mp4"
"reference-only","122,88","BZH_RESS\Montage\BZH ANTHEM 2.mp4"
"reference-only","11,19","BZH_RESS\Montage\bzh_chr_animated_cover\Gen-2 1076987936, cam_H -009999999999999992, cam_V 10, cam_Z 92, cam_YW -01, cam_P 02.mp4"
"reference-only","9,57","BZH_RESS\Montage\bzh_chr_animated_cover\Gen-2 12s, 1988162967, cam_H -009999999999999992, cam_V 10, cam_Z 92, cam_YW -01, cam_P 02.mp4"
